
(evince:233264): EvinceView-CRITICAL **: 11:44:43.582: ev_page_cache_get_annot_mapping: assertion 'page >= 0 && page < cache->n_pages' failed

** (evince:233264): WARNING **: 16:41:19.199: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:19.199: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:19.199: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:19.199: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:19.238: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:38.699: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:38.699: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:38.699: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:38.699: Error setting file metadata: No such file or directory

** (evince:233264): WARNING **: 16:41:38.735: Error setting file metadata: No such file or directory
